"coefficient","model_biz_car_estimate","model_biz_car_pValue","model_biz_air_estimate","model_biz_air_pValue","model_biz_oth_estimate","model_biz_oth_pValue","model_rec_car_estimate","model_rec_car_pValue","model_rec_air_estimate","model_rec_air_pValue","model_rec_oth_estimate","model_rec_oth_pValue"
"(Intercept)"," 1.535927e+00"," 2.426740e-11"," 1.638874e+00"," 6.222329e-12"," 1.959557e+00"," 2.893222e-04"," 1.271547e+00"," 1.642498e-21"," 1.088422e+00"," 8.191976e-23"," 1.470402e+00"," 1.463423e-05"
"CityBoston"," 8.279628e-01"," 2.081492e-05","-2.319784e-01"," 1.228194e-01"," 9.380203e-02"," 8.194819e-01"," 6.526953e-01"," 1.472513e-09","-1.932182e-01"," 2.372727e-02"," 5.765762e-01"," 3.546751e-02"
"CityChicago"," 1.451991e-01"," 4.637524e-01","-3.383153e-02"," 8.161856e-01","-7.769968e-01"," 7.136943e-02"," 1.312087e-01"," 2.540802e-01"," 8.013971e-03"," 9.226884e-01"," 2.812522e-01"," 3.175138e-01"
"CityDC"," 4.036486e-01"," 3.353234e-02","-5.496560e-01"," 5.968094e-05","-7.178162e-03"," 9.850332e-01"," 3.105906e-01"," 5.626389e-03","-9.787651e-02"," 2.341510e-01"," 2.454685e-02"," 9.272561e-01"
"CityDenver"," 3.197887e-01"," 1.644727e-01","-4.729557e-02"," 7.497491e-01","-3.555499e-01"," 5.608385e-01","-1.713303e-01"," 1.779703e-01"," 1.584129e-02"," 8.558119e-01"," 3.466160e-01"," 3.358875e-01"
"CityDetroit"," 3.840217e-01"," 5.648842e-02","-5.649773e-01"," 6.319326e-04","-3.238476e-01"," 4.666789e-01","-1.230908e-01"," 2.943788e-01","-1.522458e-01"," 9.605193e-02"," 9.201240e-02"," 7.482627e-01"
"CityKansas"," 2.028779e-01"," 3.543972e-01","-3.856472e-01"," 2.326390e-02","-8.870640e-01"," 2.790589e-01","-2.551518e-01"," 4.232489e-02","-2.267143e-01"," 1.997544e-02","-3.725225e-01"," 3.581898e-01"
"CityLA"," 1.104234e+00"," 9.267297e-09","-2.392341e-01"," 9.926830e-02","-6.092027e-01"," 1.627276e-01"," 7.401686e-02"," 5.106178e-01","-8.479338e-02"," 3.140970e-01"," 3.583784e-01"," 2.476895e-01"
"CityNYC"," 6.690958e-01"," 6.062677e-05","-3.104473e-01"," 1.347123e-02","-1.188222e-03"," 9.973660e-01"," 4.589230e-01"," 3.911603e-06","-3.133429e-02"," 6.662861e-01"," 4.325448e-01"," 7.945182e-02"
"CitySacramento"," 2.450480e-01"," 2.453367e-01","-9.234323e-01"," 2.936479e-06"," 2.285087e+00"," 1.586889e-05"," 2.236052e-01"," 7.399659e-02","-1.353689e-01"," 1.694405e-01","-1.865238e-01"," 5.895764e-01"
"CitySD"," 6.914223e-01"," 6.071183e-04","-4.095978e-01"," 6.306342e-03","-1.149226e+00"," 1.148655e-02"," 1.608462e-01"," 1.703534e-01","-1.599683e-01"," 6.876999e-02","-4.959047e-02"," 8.690886e-01"
"CitySeattle"," 6.098930e-01"," 3.172458e-03","-2.197636e-01"," 1.323499e-01"," 9.864818e-01"," 1.719016e-02"," 1.191113e-01"," 3.167905e-01","-4.960502e-02"," 5.599031e-01"," 7.499877e-01"," 9.664962e-03"
"CitySF"," 6.397032e-01"," 7.864819e-04","-4.341920e-01"," 1.473914e-03","-5.252187e-01"," 2.125048e-01"," 2.293448e-01"," 4.145105e-02","-5.725154e-03"," 9.426180e-01"," 1.810197e-01"," 5.123784e-01"
"CitySLC"," 2.447690e-01"," 3.997121e-01","-5.429800e-01"," 8.490044e-03","-1.283055e+00"," 1.494352e-01"," 1.213128e-02"," 9.339191e-01","-1.272631e-02"," 9.098346e-01","-5.506501e-01"," 2.397286e-01"
"CityTampa"," 6.600952e-01"," 1.085781e-03","-6.162183e-01"," 1.326703e-04"," 9.560032e-02"," 8.363763e-01"," 1.756592e-01"," 1.383183e-01","-1.423955e-01"," 1.279090e-01"," 3.893680e-02"," 9.003780e-01"
"I01_1(1920-1950]","-9.733135e-02"," 7.018710e-01"," 6.149379e-01"," 3.359230e-03"," 9.712900e-01"," 1.062788e-01","-1.687531e-01"," 2.007211e-01"," 1.603571e-02"," 8.738462e-01"," 2.137087e-01"," 5.059966e-01"
"I01_1(1950-1965]"," 1.979480e-01"," 7.755572e-02"," 2.030608e-02"," 8.163611e-01"," 3.367930e-01"," 1.706475e-01","-1.912658e-01"," 2.091702e-03","-1.031871e-01"," 3.093822e-02","-9.632167e-02"," 4.757519e-01"
"I01_1(1965-1980]","-2.117770e-02"," 8.082476e-01","-3.891732e-02"," 5.543987e-01"," 3.432733e-01"," 4.097619e-02","-1.820990e-02"," 7.195057e-01","-1.513732e-01"," 8.351331e-05","-1.330669e-01"," 2.273545e-01"
"I01_1(1995-2010]","-2.813352e-03"," 9.831979e-01","-2.134782e-01"," 1.191725e-01","-1.721982e-04"," 9.995114e-01"," 6.986158e-02"," 3.718082e-01"," 4.198393e-04"," 9.945692e-01","-2.237640e-01"," 1.762112e-01"
"I052"," 2.118811e-01"," 5.173174e-03"," 1.218367e-01"," 4.230939e-02"," 3.339546e-01"," 2.572483e-02"," 1.218214e-01"," 5.347023e-03","-7.714185e-02"," 2.141910e-02"," 8.999921e-02"," 3.301371e-01"
"I09_USD2","-4.834980e-01"," 8.410842e-03","-8.506406e-02"," 7.047023e-01","-2.302219e-01"," 6.194486e-01"," 1.124006e-01"," 2.823277e-01","-2.006084e-02"," 8.340358e-01","-7.319327e-01"," 1.093310e-03"
"I09_USD3","-3.508996e-01"," 5.689267e-02","-2.458023e-01"," 2.665045e-01","-3.873421e-02"," 9.327382e-01","-2.355530e-01"," 2.740420e-02"," 1.114939e-02"," 9.060339e-01","-4.817694e-01"," 3.443043e-02"
"I09_USD4","-2.691054e-01"," 1.484263e-01"," 6.976153e-02"," 7.469248e-01","-3.537391e-01"," 4.257508e-01","-1.665860e-01"," 1.202519e-01"," 1.893948e-02"," 8.410404e-01","-7.037947e-01"," 2.246453e-03"
"I09_USD5","-6.601678e-01"," 2.349793e-04","-1.042840e-01"," 6.242018e-01","-8.588329e-01"," 5.902584e-02","-1.157801e-01"," 2.637026e-01"," 1.074574e-01"," 2.384091e-01","-8.006074e-01"," 2.926721e-04"
"I09_USD6","-2.316587e-01"," 2.203648e-01"," 3.354263e-01"," 1.165802e-01","-2.999272e-01"," 5.161944e-01","-9.150189e-02"," 3.968008e-01"," 2.606894e-01"," 4.869729e-03","-6.519433e-01"," 4.616114e-03"
"D09_1"," 2.387041e-03"," 9.302580e-01","-3.655838e-02"," 1.060505e-01","-8.608731e-02"," 6.774791e-02"," 5.431085e-03"," 7.344516e-01","-4.437372e-02"," 5.586238e-04"," 1.752399e-02"," 6.077888e-01"
"H03_1"," 4.511401e-02"," 2.886741e-01"," 2.706151e-02"," 4.342795e-01","-3.822559e-02"," 6.043745e-01"," 5.626442e-02"," 1.992889e-02"," 2.446431e-02"," 1.926107e-01","-3.579231e-02"," 4.339980e-01"
"FA1A","-2.431942e-02"," 5.414932e-01"," 7.001465e-02"," 2.205994e-02","-1.796401e-02"," 8.195999e-01","-4.280830e-03"," 8.498454e-01"," 4.107179e-02"," 1.554472e-02"," 3.574363e-02"," 4.593122e-01"
"FA2A"," 4.249222e-02"," 4.175454e-01"," 3.302969e-02"," 3.973676e-01"," 1.478874e-02"," 8.728422e-01"," 1.191565e-01"," 2.485236e-05","-5.764388e-02"," 6.299243e-03","-2.212821e-01"," 3.718055e-05"
"FA3A","-1.148739e-01"," 9.067835e-03"," 4.064532e-02"," 2.404465e-01"," 6.362522e-02"," 4.928132e-01","-1.810070e-03"," 9.391829e-01"," 8.909988e-02"," 1.368443e-06"," 4.792078e-02"," 3.674305e-01"
"FA4A","-3.198310e-02"," 4.331961e-01"," 3.447672e-02"," 3.091691e-01","-1.993404e-01"," 1.401321e-02","-2.210256e-02"," 3.456066e-01"," 3.207848e-02"," 8.934741e-02"," 2.496455e-02"," 6.388805e-01"
"FA5A"," 4.331037e-03"," 9.034951e-01","-3.909611e-02"," 1.475328e-01","-1.633114e-01"," 2.010778e-02"," 2.721243e-02"," 1.574410e-01","-1.391240e-02"," 3.501869e-01","-9.055482e-02"," 3.798355e-02"
"FA6A"," 3.150599e-02"," 4.091917e-01","-6.545805e-02"," 2.981389e-02"," 1.525452e-01"," 5.602857e-02"," 8.500458e-02"," 7.715266e-05","-4.929730e-02"," 3.518462e-03"," 4.505116e-02"," 3.387969e-01"
"FA1H","-1.092649e-01"," 1.105468e-02","-1.955537e-02"," 5.627870e-01"," 2.837982e-02"," 7.535870e-01","-7.863074e-02"," 6.904057e-04","-1.985454e-02"," 2.745649e-01","-3.050345e-02"," 5.806302e-01"
"FA2H"," 4.788737e-02"," 2.792086e-01"," 2.373910e-02"," 4.884682e-01"," 4.908238e-03"," 9.574426e-01"," 6.211772e-02"," 1.530186e-02"," 2.396808e-02"," 2.209099e-01","-6.926953e-03"," 9.016477e-01"
"FA3H"," 4.593005e-02"," 1.814019e-01","-1.635310e-02"," 5.525213e-01","-2.016699e-01"," 7.745486e-03"," 8.821053e-04"," 9.635508e-01","-5.459165e-02"," 2.789265e-04","-2.422089e-01"," 3.467674e-08"
"FA4H"," 1.222312e-01"," 7.475148e-05","-4.800934e-02"," 5.291880e-02"," 1.571173e-01"," 2.185519e-02"," 1.253381e-02"," 4.690311e-01"," 2.827720e-03"," 8.335905e-01"," 2.275216e-01"," 7.217274e-09"
