"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","asc","tau_fewer","tau_same"
"b_City_Midwest",0.0163905239096321,0.0044226278414538,0.00433538526657597,-0.000459372098283811,7.37457699871751e-06,0.000345353861573488,0.000837708593217877,0.000751386354771119,9.2815329525794e-05,-6.98881823429324e-05,-0.000324523915585849,-3.47839539846969e-05,0.000294086701697304,-0.000513063342848122,0.208505301190495,0.213291824341723,0.213171498249883
"b_City_South",0.0044226278414538,0.0129585366624906,0.00446113123118804,6.36367275290254e-05,6.86267005793244e-05,-0.000153711097935527,0.000693006504783346,0.000132747727460052,-0.000131208869092899,6.11226996550911e-05,-0.000441893075918687,-9.24487883198126e-05,4.96940271292314e-05,3.3948221062431e-05,0.425963632137033,0.430244583955966,0.430263745692553
"b_City_Northeast",0.00433538526657597,0.00446113123118804,0.0140164636598954,-0.000257983436372832,-1.54262173138087e-05,-0.000946722983076828,0.000385691607311628,0.000350301182420602,-0.000273610726358338,-3.32422815080812e-05,-0.00042368840337757,8.04352543639655e-05,-0.00021576195120107,0.000945386913323181,0.191086610831334,0.195541793452118,0.195363727021643
"b_Age_GenZ",-0.000459372098283811,6.36367275290254e-05,-0.000257983436372832,0.0299240166117187,0.00644083580406254,0.00635307354805926,0.00147133495515822,0.00264311184383765,0.000444022158508709,9.34235729884829e-05,0.00503944925359206,-0.00118852813694351,0.000895092113187965,-0.000317744142047003,0.0263897720298886,0.0383715630640493,0.039149115625103
"b_Age_Millenials",7.37457699871751e-06,6.86267005793244e-05,-1.54262173138087e-05,0.00644083580406254,0.01045204803209,0.00579251625106726,0.000475887932300147,0.00192803133999789,8.25148518349412e-05,-5.39942221805398e-05,-6.87303006242714e-05,-0.000267902998599874,0.000733630234303506,0.000614204938268424,0.0233508884581935,0.0309205484026042,0.0311437714432756
"b_Age_Older",0.000345353861573488,-0.000153711097935527,-0.000946722983076828,0.00635307354805926,0.00579251625106726,0.0201741376872141,0.000321217606678645,-1.99149782442286e-05,-0.00016474732829972,0.000185158333597179,0.000492850917188351,7.4032837931342e-05,0.00325041270645562,-0.00124293425733492,0.0574994090746872,0.0646286747316305,0.0644427679605046
"b_Inc_Mid",0.000837708593217877,0.000693006504783346,0.000385691607311628,0.00147133495515822,0.000475887932300147,0.000321217606678645,0.0187263500219901,0.0139957902599273,-0.00012077556847439,-0.000235760227195641,-0.00338501733516709,0.000707904701690515,-0.0010212279599301,0.000263627007108926,0.0384791940942824,0.0498274901182704,0.0495407909543673
"b_Inc_High",0.000751386354771119,0.000132747727460052,0.000350301182420602,0.00264311184383765,0.00192803133999789,-1.99149782442286e-05,0.0139957902599273,0.0192689825668912,-0.000167670822744811,-0.000353884670904603,-0.00534589527729238,0.000612896349671568,-0.00127721734156873,9.53092903219776e-05,0.0246844911116744,0.0358595871995281,0.0352432163493082
"b_Hel",9.2815329525794e-05,-0.000131208869092899,-0.000273610726358338,0.000444022158508709,8.25148518349412e-05,-0.00016474732829972,-0.00012077556847439,-0.000167670822744811,0.00225361024387886,-0.000240869395355812,2.85467177797877e-05,-0.000458426234647998,-4.00866883141463e-05,0.000258374193718968,-0.00673516407099159,-0.00404273349181722,-0.00422844066828893
"b_Vdc",-6.98881823429324e-05,6.11226996550911e-05,-3.32422815080812e-05,9.34235729884829e-05,-5.39942221805398e-05,0.000185158333597179,-0.000235760227195641,-0.000353884670904603,-0.000240869395355812,0.00162035941756974,-0.000451075738823631,-4.14946270757996e-05,-0.000266440405450032,7.95814009250886e-05,0.00724911387294389,0.00725856135851773,0.00733990705207052
"b_Edc_MoreBachelor",-0.000324523915585849,-0.000441893075918687,-0.00042368840337757,0.00503944925359206,-6.87303006242714e-05,0.000492850917188351,-0.00338501733516709,-0.00534589527729238,2.85467177797877e-05,-0.000451075738823631,0.0130773527544965,0.000204644974455944,0.000288785721647677,0.000311567922330118,-0.0343172801661314,-0.0277539798613579,-0.0281607108553723
"b_Gen_NonMale",-3.47839539846969e-05,-9.24487883198126e-05,8.04352543639655e-05,-0.00118852813694351,-0.000267902998599874,7.4032837931342e-05,0.000707904701690515,0.000612896349671568,-0.000458426234647998,-4.14946270757996e-05,0.000204644974455944,0.00792231252924208,0.0010742259762953,-0.000498559506935893,-0.0242837075960283,-0.0205515893614663,-0.020634615524253
"b_Chl_Yes",0.000294086701697304,4.96940271292314e-05,-0.00021576195120107,0.000895092113187965,0.000733630234303506,0.00325041270645562,-0.0010212279599301,-0.00127721734156873,-4.00866883141463e-05,-0.000266440405450032,0.000288785721647677,0.0010742259762953,0.00842959765850139,0.000304980057093002,-0.000150333274681709,0.00430879029424288,0.00470785055192796
"b_Ngh_NonUrban",-0.000513063342848122,3.3948221062431e-05,0.000945386913323181,-0.000317744142047003,0.000614204938268424,-0.00124293425733492,0.000263627007108926,9.53092903219776e-05,0.000258374193718968,7.95814009250886e-05,0.000311567922330118,-0.000498559506935893,0.000304980057093002,0.00822711163436961,-0.00897426071361761,-0.00309353244167833,-0.0034679870247849
"asc",0.208505301190495,0.425963632137033,0.191086610831334,0.0263897720298886,0.0233508884581935,0.0574994090746872,0.0384791940942824,0.0246844911116744,-0.00673516407099159,0.00724911387294389,-0.0343172801661314,-0.0242837075960283,-0.000150333274681709,-0.00897426071361761,75101008.5920454,75101008.753587,75101008.7554741
"tau_fewer",0.213291824341723,0.430244583955966,0.195541793452118,0.0383715630640493,0.0309205484026042,0.0646286747316305,0.0498274901182704,0.0358595871995281,-0.00404273349181722,0.00725856135851773,-0.0277539798613579,-0.0205515893614663,0.00430879029424288,-0.00309353244167833,75101008.753587,75101008.9511166,75101008.9506932
"tau_same",0.213171498249883,0.430263745692553,0.195363727021643,0.039149115625103,0.0311437714432756,0.0644427679605046,0.0495407909543673,0.0352432163493082,-0.00422844066828893,0.00733990705207052,-0.0281607108553723,-0.020634615524253,0.00470785055192796,-0.0034679870247849,75101008.7554741,75101008.9506932,75101008.9538649
